transaction_id,user_id,transaction_date,amount
TX-10147,USR-0048,2025-06-22,99
TX-10148,USR-0048,2025-07-23,99
TX-10149,USR-0048,2025-08-22,99
TX-10150,USR-0049,2025-12-10,99
TX-10151,USR-0050,2025-09-19,99
TX-10152,USR-0050,2025-10-19,99
TX-10153,USR-0050,2025-11-19,99
TX-10154,USR-0050,2025-12-19,99
TX-10155,USR-0051,2025-11-05,299
TX-10156,USR-0051,2025-12-05,299
TX-10157,USR-0052,2025-05-23,99
TX-10158,USR-0052,2025-06-22,99
TX-10159,USR-0052,2025-07-23,99
TX-10160,USR-0052,2025-08-22,99
TX-10161,USR-0052,2025-09-22,99
TX-10162,USR-0052,2025-10-22,99
TX-10163,USR-0052,2025-11-22,99
TX-10164,USR-0052,2025-12-22,99
TX-10165,USR-0053,2025-06-13,299
TX-10166,USR-0053,2025-07-13,299
TX-10167,USR-0053,2025-08-13,299
TX-10168,USR-0053,2025-09-12,299
TX-10169,USR-0053,2025-10-13,299
TX-10170,USR-0053,2025-11-12,299
TX-10171,USR-0053,2025-12-13,299
TX-10172,USR-0054,2025-08-20,99
TX-10173,USR-0054,2025-09-19,99
TX-10174,USR-0054,2025-10-20,99
TX-10175,USR-0055,2025-06-27,99
TX-10176,USR-0056,2025-05-12,299
TX-10177,USR-0056,2025-06-11,299
TX-10178,USR-0056,2025-07-12,299
TX-10179,USR-0056,2025-08-11,299
TX-10180,USR-0056,2025-09-11,299
TX-10181,USR-0056,2025-10-11,299
TX-10182,USR-0057,2025-12-24,299
TX-10183,USR-0058,2025-01-24,99
TX-10184,USR-0058,2025-02-23,99
TX-10185,USR-0058,2025-03-26,99
TX-10186,USR-0058,2025-04-25,99
TX-10187,USR-0059,2025-11-05,299
TX-10188,USR-0059,2025-12-05,299
TX-10189,USR-0060,2025-12-11,99
TX-10190,USR-0061,2025-08-14,99
TX-10191,USR-0062,2025-09-04,299
TX-10192,USR-0062,2025-10-04,299
TX-10193,USR-0062,2025-11-04,299
TX-10194,USR-0062,2025-12-04,299
TX-10195,USR-0063,2025-08-17,299
TX-10196,USR-0063,2025-09-16,299
TX-10197,USR-0063,2025-10-17,299
TX-10198,USR-0063,2025-11-16,299
TX-10199,USR-0063,2025-12-17,299
TX-10200,USR-0064,2025-11-16,99
TX-10201,USR-0064,2025-12-16,99
TX-10202,USR-0065,2025-10-18,99
TX-10203,USR-0065,2025-11-17,99
TX-10204,USR-0065,2025-12-18,99
TX-10205,USR-0066,2025-06-09,999
TX-10206,USR-0066,2025-07-09,999
TX-10207,USR-0066,2025-08-09,999
TX-10208,USR-0066,2025-09-08,999
TX-10209,USR-0067,2025-07-23,299
TX-10210,USR-0067,2025-08-22,299
TX-10211,USR-0067,2025-09-22,299
TX-10212,USR-0067,2025-10-22,299
TX-10213,USR-0067,2025-11-22,299
TX-10214,USR-0067,2025-12-22,299
TX-10215,USR-0068,2025-12-20,299
TX-10216,USR-0069,2025-07-30,99
TX-10217,USR-0069,2025-08-29,99
TX-10218,USR-0070,2025-05-31,299
TX-10219,USR-0070,2025-06-30,299
TX-10220,USR-0070,2025-07-31,299
TX-10221,USR-0070,2025-08-30,299
TX-10222,USR-0070,2025-09-30,299
TX-10223,USR-0070,2025-10-30,299
TX-10224,USR-0070,2025-11-30,299
TX-10225,USR-0071,2025-05-26,99
TX-10226,USR-0072,2025-01-02,99
TX-10227,USR-0072,2025-02-01,99
TX-10228,USR-0072,2025-03-04,99
TX-10229,USR-0072,2025-04-03,99
TX-10230,USR-0073,2025-01-25,299
TX-10231,USR-0073,2025-02-24,299
TX-10232,USR-0073,2025-03-27,299
TX-10233,USR-0073,2025-04-26,299
TX-10234,USR-0074,2025-12-12,99
TX-10235,USR-0075,2025-04-24,299
TX-10236,USR-0075,2025-05-24,299
TX-10237,USR-0075,2025-06-24,299
TX-10238,USR-0075,2025-07-24,299
TX-10239,USR-0075,2025-08-24,299
TX-10240,USR-0075,2025-09-23,299
TX-10241,USR-0075,2025-10-24,299
TX-10242,USR-0075,2025-11-23,299
TX-10243,USR-0075,2025-12-24,299
TX-10244,USR-0076,2025-06-12,299
TX-10245,USR-0076,2025-07-12,299
TX-10246,USR-0076,2025-08-12,299
TX-10247,USR-0077,2025-02-06,999
TX-10248,USR-0077,2025-03-08,999
TX-10249,USR-0077,2025-04-08,999
TX-10250,USR-0077,2025-05-08,999
TX-10251,USR-0077,2025-06-08,999
TX-10252,USR-0077,2025-07-08,999
TX-10253,USR-0077,2025-08-08,999
TX-10254,USR-0077,2025-09-07,999
TX-10255,USR-0077,2025-10-08,999
TX-10256,USR-0078,2025-10-04,99
TX-10257,USR-0078,2025-11-03,99
TX-10258,USR-0078,2025-12-04,99
TX-10259,USR-0079,2025-08-03,299
TX-10260,USR-0079,2025-09-02,299
TX-10261,USR-0079,2025-10-03,299
TX-10262,USR-0080,2025-09-23,299
TX-10263,USR-0080,2025-10-23,299
TX-10264,USR-0080,2025-11-23,299
TX-10265,USR-0080,2025-12-23,299
TX-10266,USR-0081,2025-02-17,299
TX-10267,USR-0081,2025-03-19,299
TX-10268,USR-0081,2025-04-19,299
TX-10269,USR-0081,2025-05-19,299
TX-10270,USR-0081,2025-06-19,299
TX-10271,USR-0082,2025-11-13,999
TX-10272,USR-0083,2025-10-03,299
TX-10273,USR-0083,2025-11-02,299
TX-10274,USR-0083,2025-12-03,299
TX-10275,USR-0084,2025-10-07,999
TX-10276,USR-0084,2025-11-06,999
TX-10277,USR-0084,2025-12-07,999
TX-10278,USR-0085,2025-01-28,99
TX-10279,USR-0085,2025-02-27,99
TX-10280,USR-0086,2025-11-03,299
TX-10281,USR-0086,2025-12-03,299
TX-10282,USR-0087,2025-12-24,99
TX-10283,USR-0088,2025-11-02,99
TX-10284,USR-0089,2025-12-09,99
TX-10285,USR-0090,2025-11-18,999
TX-10286,USR-0090,2025-12-18,999
TX-10287,USR-0091,2025-04-19,999
TX-10288,USR-0091,2025-05-19,999
TX-10289,USR-0091,2025-06-19,999
TX-10290,USR-0091,2025-07-19,999
TX-10291,USR-0091,2025-08-19,999
TX-10292,USR-0091,2025-09-18,999
TX-10293,USR-0091,2025-10-19,999
TX-10294,USR-0092,2025-01-12,999
TX-10295,USR-0092,2025-02-11,999
TX-10296,USR-0092,2025-03-14,999
TX-10297,USR-0092,2025-04-13,999
TX-10298,USR-0092,2025-05-14,999
TX-10299,USR-0092,2025-06-13,999
TX-10300,USR-0092,2025-07-14,999
TX-10301,USR-0092,2025-08-13,999
TX-10302,USR-0092,2025-09-13,999
TX-10303,USR-0092,2025-10-13,999
TX-10304,USR-0092,2025-11-13,999
TX-10305,USR-0092,2025-12-13,999
TX-10306,USR-0093,2025-07-16,99
TX-10307,USR-0093,2025-08-15,99
TX-10308,USR-0093,2025-09-15,99
TX-10309,USR-0093,2025-10-15,99
TX-10310,USR-0093,2025-11-15,99
TX-10311,USR-0093,2025-12-15,99
TX-10312,USR-0094,2025-12-15,299
TX-10313,USR-0095,2025-08-30,99
TX-10314,USR-0096,2025-08-03,99
TX-10315,USR-0096,2025-09-02,99
TX-10316,USR-0097,2025-12-13,99
TX-10317,USR-0098,2025-10-22,999
TX-10318,USR-0098,2025-11-21,999
TX-10319,USR-0098,2025-12-22,999
TX-10320,USR-0099,2025-07-02,99
TX-10321,USR-0099,2025-08-01,99
TX-10322,USR-0099,2025-09-01,99
TX-10323,USR-0099,2025-10-01,99
TX-10324,USR-0099,2025-11-01,99
TX-10325,USR-0100,2025-12-19,299
TX-10326,USR-0101,2025-12-06,99
TX-10327,USR-0102,2025-04-09,99
TX-10328,USR-0103,2025-08-29,299
TX-10329,USR-0103,2025-09-28,299
TX-10330,USR-0103,2025-10-29,299
TX-10331,USR-0103,2025-11-28,299
TX-10332,USR-0104,2025-08-30,99
TX-10333,USR-0105,2025-05-01,99
TX-10334,USR-0105,2025-05-31,99
TX-10335,USR-0106,2025-06-15,99
TX-10336,USR-0106,2025-07-15,99
TX-10337,USR-0107,2025-09-08,99
TX-10338,USR-0107,2025-10-08,99
TX-10339,USR-0107,2025-11-08,99
TX-10340,USR-0107,2025-12-08,99
TX-10341,USR-0108,2025-08-13,99
TX-10342,USR-0109,2025-06-05,99
TX-10343,USR-0110,2025-05-10,299
TX-10344,USR-0111,2025-03-25,299
TX-10345,USR-0111,2025-04-24,299
TX-10346,USR-0111,2025-05-25,299
TX-10347,USR-0111,2025-06-24,299
TX-10348,USR-0111,2025-07-25,299
TX-10349,USR-0111,2025-08-24,299
TX-10350,USR-0111,2025-09-24,299
TX-10351,USR-0111,2025-10-24,299
TX-10352,USR-0111,2025-11-24,299
TX-10353,USR-0111,2025-12-24,299
TX-10354,USR-0112,2025-07-15,99
TX-10355,USR-0112,2025-08-14,99
TX-10356,USR-0112,2025-09-14,99
TX-10357,USR-0112,2025-10-14,99
TX-10358,USR-0112,2025-11-14,99
TX-10359,USR-0113,2025-07-17,299
TX-10360,USR-0113,2025-08-16,299
TX-10361,USR-0113,2025-09-16,299
TX-10362,USR-0113,2025-10-16,299
TX-10363,USR-0113,2025-11-16,299
TX-10364,USR-0113,2025-12-16,299
TX-10365,USR-0114,2025-08-03,99
TX-10366,USR-0114,2025-09-02,99
TX-10367,USR-0114,2025-10-03,99
TX-10368,USR-0114,2025-11-02,99
TX-10369,USR-0115,2025-01-25,99
TX-10370,USR-0115,2025-02-24,99
TX-10371,USR-0115,2025-03-27,99
TX-10372,USR-0115,2025-04-26,99
TX-10373,USR-0115,2025-05-27,99
TX-10374,USR-0115,2025-06-26,99
TX-10375,USR-0116,2025-02-02,99
TX-10376,USR-0116,2025-03-04,99
TX-10377,USR-0116,2025-04-04,99
TX-10378,USR-0116,2025-05-04,99
TX-10379,USR-0116,2025-06-04,99
TX-10380,USR-0116,2025-07-04,99
TX-10381,USR-0116,2025-08-04,99
TX-10382,USR-0117,2025-01-24,99
TX-10383,USR-0117,2025-02-23,99
TX-10384,USR-0118,2025-10-25,99
TX-10385,USR-0118,2025-11-24,99
TX-10386,USR-0118,2025-12-25,99
TX-10387,USR-0119,2025-04-25,299
TX-10388,USR-0119,2025-05-25,299
TX-10389,USR-0119,2025-06-25,299
TX-10390,USR-0120,2025-02-11,99
TX-10391,USR-0120,2025-03-13,99
TX-10392,USR-0120,2025-04-13,99
TX-10393,USR-0120,2025-05-13,99
TX-10394,USR-0120,2025-06-13,99
TX-10395,USR-0120,2025-07-13,99
TX-10396,USR-0120,2025-08-13,99
TX-10397,USR-0121,2025-08-06,99
TX-10398,USR-0121,2025-09-05,99
TX-10399,USR-0121,2025-10-06,99
TX-10400,USR-0121,2025-11-05,99
TX-10401,USR-0121,2025-12-06,99
TX-10402,USR-0122,2025-08-22,99
TX-10403,USR-0122,2025-09-21,99
TX-10404,USR-0123,2025-01-21,99
TX-10405,USR-0123,2025-02-20,99
TX-10406,USR-0123,2025-03-23,99
TX-10407,USR-0123,2025-04-22,99
TX-10408,USR-0123,2025-05-23,99
TX-10409,USR-0123,2025-06-22,99
TX-10410,USR-0124,2025-02-18,99
TX-10411,USR-0124,2025-03-20,99
TX-10412,USR-0125,2025-11-16,999
TX-10413,USR-0125,2025-12-16,999
TX-10414,USR-0126,2025-11-13,99
TX-10415,USR-0126,2025-12-13,99
TX-10416,USR-0127,2025-10-29,99
TX-10417,USR-0127,2025-11-28,99
TX-10418,USR-0128,2025-05-12,99
TX-10419,USR-0129,2025-10-17,99
TX-10420,USR-0129,2025-11-16,99
TX-10421,USR-0129,2025-12-17,99
TX-10422,USR-0130,2025-09-03,99
TX-10423,USR-0130,2025-10-03,99
TX-10424,USR-0130,2025-11-03,99
TX-10425,USR-0130,2025-12-03,99
TX-10426,USR-0131,2025-01-18,99
TX-10427,USR-0131,2025-02-17,99
TX-10428,USR-0131,2025-03-20,99
TX-10429,USR-0131,2025-04-19,99
TX-10430,USR-0131,2025-05-20,99
TX-10431,USR-0131,2025-06-19,99
TX-10432,USR-0131,2025-07-20,99
TX-10433,USR-0131,2025-08-19,99
TX-10434,USR-0131,2025-09-19,99
TX-10435,USR-0131,2025-10-19,99
TX-10436,USR-0132,2025-10-14,299
TX-10437,USR-0132,2025-11-13,299
TX-10438,USR-0132,2025-12-14,299
TX-10439,USR-0133,2025-12-07,999
TX-10440,USR-0134,2025-03-04,999
TX-10441,USR-0134,2025-04-03,999
TX-10442,USR-0134,2025-05-04,999
TX-10443,USR-0134,2025-06-03,999
TX-10444,USR-0135,2025-10-25,99
TX-10445,USR-0135,2025-11-24,99
TX-10446,USR-0136,2025-09-23,999
TX-10447,USR-0136,2025-10-23,999
TX-10448,USR-0136,2025-11-23,999
TX-10449,USR-0136,2025-12-23,999
TX-10450,USR-0137,2025-07-07,99
TX-10451,USR-0137,2025-08-06,99
TX-10452,USR-0137,2025-09-06,99
TX-10453,USR-0138,2025-07-24,99
TX-10454,USR-0138,2025-08-23,99
TX-10455,USR-0138,2025-09-23,99
TX-10456,USR-0138,2025-10-23,99
TX-10457,USR-0138,2025-11-23,99
TX-10458,USR-0138,2025-12-23,99
TX-10459,USR-0139,2025-07-02,299
TX-10460,USR-0139,2025-08-01,299
TX-10461,USR-0139,2025-09-01,299
TX-10462,USR-0139,2025-10-01,299
TX-10463,USR-0139,2025-11-01,299
TX-10464,USR-0139,2025-12-01,299
TX-10465,USR-0140,2025-10-31,999
TX-10466,USR-0140,2025-11-30,999
TX-10467,USR-0141,2025-10-24,299
TX-10468,USR-0141,2025-11-23,299
TX-10469,USR-0141,2025-12-24,299
TX-10470,USR-0142,2025-10-24,299
TX-10471,USR-0142,2025-11-23,299
TX-10472,USR-0142,2025-12-24,299
TX-10473,USR-0143,2025-06-12,99
TX-10474,USR-0143,2025-07-12,99
TX-10475,USR-0144,2025-03-16,99
TX-10476,USR-0144,2025-04-15,99
TX-10477,USR-0144,2025-05-16,99
TX-10478,USR-0144,2025-06-15,99
TX-10479,USR-0144,2025-07-16,99
TX-10480,USR-0145,2025-08-18,99
TX-10481,USR-0146,2025-08-06,99
TX-10482,USR-0146,2025-09-05,99
TX-10483,USR-0146,2025-10-06,99
TX-10484,USR-0147,2025-03-19,299
TX-10485,USR-0147,2025-04-18,299
TX-10486,USR-0148,2025-11-30,999
TX-10487,USR-0149,2025-10-02,299
TX-10488,USR-0149,2025-11-01,299
TX-10489,USR-0149,2025-12-02,299
TX-10490,USR-0150,2025-09-19,99
TX-10491,USR-0150,2025-10-19,99
TX-10492,USR-0151,2025-11-27,99
TX-10493,USR-0152,2025-12-10,99
TX-10494,USR-0153,2025-10-28,299
TX-10495,USR-0153,2025-11-27,299
TX-10496,USR-0154,2025-08-19,99
TX-10497,USR-0154,2025-09-18,99
TX-10498,USR-0154,2025-10-19,99
TX-10499,USR-0155,2025-08-31,99
TX-10500,USR-0155,2025-09-30,99
TX-10501,USR-0156,2025-06-17,99
TX-10502,USR-0157,2025-08-25,99
TX-10503,USR-0157,2025-09-24,99
TX-10504,USR-0157,2025-10-25,99
TX-10505,USR-0157,2025-11-24,99
TX-10506,USR-0157,2025-12-25,99
TX-10507,USR-0158,2025-12-13,299
TX-10508,USR-0159,2025-05-26,99
TX-10509,USR-0159,2025-06-25,99
TX-10510,USR-0159,2025-07-26,99
TX-10511,USR-0160,2025-03-23,299
TX-10512,USR-0160,2025-04-22,299
TX-10513,USR-0160,2025-05-23,299
TX-10514,USR-0160,2025-06-22,299
TX-10515,USR-0160,2025-07-23,299
TX-10516,USR-0160,2025-08-22,299
TX-10517,USR-0160,2025-09-22,299
TX-10518,USR-0161,2025-06-16,99
TX-10519,USR-0161,2025-07-16,99
TX-10520,USR-0161,2025-08-16,99
TX-10521,USR-0161,2025-09-15,99
TX-10522,USR-0162,2025-07-01,99
TX-10523,USR-0162,2025-07-31,99
TX-10524,USR-0162,2025-08-31,99
TX-10525,USR-0163,2025-02-07,299
TX-10526,USR-0164,2025-06-09,299
TX-10527,USR-0164,2025-07-09,299
TX-10528,USR-0164,2025-08-09,299
TX-10529,USR-0165,2025-11-03,299
TX-10530,USR-0165,2025-12-03,299
TX-10531,USR-0166,2025-04-24,99
TX-10532,USR-0166,2025-05-24,99
TX-10533,USR-0166,2025-06-24,99
TX-10534,USR-0166,2025-07-24,99
TX-10535,USR-0166,2025-08-24,99
TX-10536,USR-0167,2025-08-06,99
TX-10537,USR-0167,2025-09-05,99
TX-10538,USR-0167,2025-10-06,99
TX-10539,USR-0168,2025-10-31,999
TX-10540,USR-0168,2025-11-30,999
TX-10541,USR-0169,2025-06-22,299
TX-10542,USR-0169,2025-07-22,299
TX-10543,USR-0169,2025-08-22,299
TX-10544,USR-0169,2025-09-21,299
TX-10545,USR-0169,2025-10-22,299
TX-10546,USR-0169,2025-11-21,299
TX-10547,USR-0169,2025-12-22,299
TX-10548,USR-0170,2025-07-01,999
TX-10549,USR-0170,2025-07-31,999
TX-10550,USR-0170,2025-08-31,999
TX-10551,USR-0170,2025-09-30,999
TX-10552,USR-0170,2025-10-31,999
TX-10553,USR-0170,2025-11-30,999
TX-10554,USR-0171,2025-11-01,99
TX-10555,USR-0171,2025-12-01,99
TX-10556,USR-0172,2025-07-11,99
TX-10557,USR-0173,2025-10-14,299
TX-10558,USR-0173,2025-11-13,299
TX-10559,USR-0174,2025-10-14,99
TX-10560,USR-0174,2025-11-13,99
TX-10561,USR-0174,2025-12-14,99
TX-10562,USR-0175,2025-09-22,99
TX-10563,USR-0175,2025-10-22,99
TX-10564,USR-0176,2025-12-22,999
TX-10565,USR-0177,2025-09-02,99
TX-10566,USR-0178,2025-02-03,99
TX-10567,USR-0178,2025-03-05,99
TX-10568,USR-0178,2025-04-05,99
TX-10569,USR-0178,2025-05-05,99
TX-10570,USR-0179,2025-02-21,99
TX-10571,USR-0180,2025-11-04,99
TX-10572,USR-0180,2025-12-04,99
TX-10573,USR-0181,2025-07-09,999
TX-10574,USR-0181,2025-08-08,999
TX-10575,USR-0181,2025-09-08,999
TX-10576,USR-0181,2025-10-08,999
TX-10577,USR-0181,2025-11-08,999
TX-10578,USR-0181,2025-12-08,999
TX-10579,USR-0182,2025-10-16,99
TX-10580,USR-0182,2025-11-15,99
TX-10581,USR-0182,2025-12-16,99
TX-10582,USR-0183,2025-11-07,99
TX-10583,USR-0183,2025-12-07,99
TX-10584,USR-0184,2025-05-03,999
TX-10585,USR-0184,2025-06-02,999
TX-10586,USR-0185,2025-03-25,99
TX-10587,USR-0185,2025-04-24,99
TX-10588,USR-0185,2025-05-25,99
TX-10589,USR-0185,2025-06-24,99
TX-10590,USR-0185,2025-07-25,99
TX-10591,USR-0185,2025-08-24,99
TX-10592,USR-0185,2025-09-24,99
TX-10593,USR-0185,2025-10-24,99
TX-10594,USR-0186,2025-02-08,99
TX-10595,USR-0186,2025-03-10,99
TX-10596,USR-0186,2025-04-10,99
TX-10597,USR-0186,2025-05-10,99
TX-10598,USR-0186,2025-06-10,99
TX-10599,USR-0186,2025-07-10,99
TX-10600,USR-0186,2025-08-10,99
TX-10601,USR-0186,2025-09-09,99
TX-10602,USR-0187,2025-01-12,99
TX-10603,USR-0187,2025-02-11,99
TX-10604,USR-0188,2025-03-11,299
TX-10605,USR-0188,2025-04-10,299
TX-10606,USR-0188,2025-05-11,299
TX-10607,USR-0189,2025-10-18,299
TX-10608,USR-0189,2025-11-17,299
TX-10609,USR-0189,2025-12-18,299
TX-10610,USR-0190,2025-12-14,99
TX-10611,USR-0191,2025-04-26,99
TX-10612,USR-0191,2025-05-26,99
TX-10613,USR-0191,2025-06-26,99
TX-10614,USR-0191,2025-07-26,99
TX-10615,USR-0192,2025-08-20,999
TX-10616,USR-0192,2025-09-19,999
TX-10617,USR-0192,2025-10-20,999
TX-10618,USR-0192,2025-11-19,999
TX-10619,USR-0193,2025-12-19,299
TX-10620,USR-0194,2025-10-17,299
TX-10621,USR-0194,2025-11-16,299
TX-10622,USR-0194,2025-12-17,299
TX-10623,USR-0195,2025-01-24,99
TX-10624,USR-0195,2025-02-23,99
TX-10625,USR-0195,2025-03-26,99
TX-10626,USR-0195,2025-04-25,99
TX-10627,USR-0195,2025-05-26,99
TX-10628,USR-0196,2025-02-14,299
TX-10629,USR-0196,2025-03-16,299
TX-10630,USR-0196,2025-04-16,299
TX-10631,USR-0196,2025-05-16,299
TX-10632,USR-0196,2025-06-16,299
TX-10633,USR-0196,2025-07-16,299
TX-10634,USR-0197,2025-06-02,299
TX-10635,USR-0197,2025-07-02,299
TX-10636,USR-0198,2025-08-01,99
TX-10637,USR-0198,2025-08-31,99
TX-10638,USR-0198,2025-10-01,99
TX-10639,USR-0198,2025-10-31,99
TX-10640,USR-0198,2025-12-01,99
TX-10641,USR-0199,2025-07-15,299
TX-10642,USR-0200,2025-10-22,99
TX-10643,USR-0200,2025-11-21,99
TX-10644,USR-0200,2025-12-22,99
TX-10645,USR-0201,2025-01-13,99
TX-10646,USR-0201,2025-02-12,99
TX-10647,USR-0201,2025-03-15,99
TX-10648,USR-0201,2025-04-14,99
TX-10649,USR-0201,2025-05-15,99
TX-10650,USR-0201,2025-06-14,99
TX-10651,USR-0202,2025-07-16,99
TX-10652,USR-0202,2025-08-15,99
TX-10653,USR-0203,2025-10-02,99
TX-10654,USR-0203,2025-11-01,99
TX-10655,USR-0204,2025-12-07,999
TX-10656,USR-0205,2025-12-03,999
TX-10657,USR-0206,2025-04-20,299
TX-10658,USR-0206,2025-05-20,299
TX-10659,USR-0206,2025-06-20,299
TX-10660,USR-0206,2025-07-20,299
TX-10661,USR-0206,2025-08-20,299
TX-10662,USR-0206,2025-09-19,299
TX-10663,USR-0206,2025-10-20,299
TX-10664,USR-0207,2025-11-01,99
